source_0,destination_0,arrival_time_0,source_1,destination_1,arrival_time_1,source_2,destination_2,arrival_time_2,source_3,destination_3,arrival_time_3,source_4,destination_4,arrival_time_4,source_5,destination_5,arrival_time_5,source_6,destination_6,arrival_time_6,source_7,destination_7,arrival_time_7,source_8,destination_8,arrival_time_8,source_9,destination_9,arrival_time_9,source_10,destination_10,arrival_time_10,source_11,destination_11,arrival_time_11,source_12,destination_12,arrival_time_12,source_13,destination_13,arrival_time_13,source_14,destination_14,arrival_time_14,source_15,destination_15,arrival_time_15,source_16,destination_16,arrival_time_16,source_17,destination_17,arrival_time_17,source_18,destination_18,arrival_time_18,source_19,destination_19,arrival_time_19,source_20,destination_20,arrival_time_20,source_21,destination_21,arrival_time_21,source_22,destination_22,arrival_time_22,source_23,destination_23,arrival_time_23,source_24,destination_24,arrival_time_24,source_25,destination_25,arrival_time_25,source_26,destination_26,arrival_time_26,source_27,destination_27,arrival_time_27,source_28,destination_28,arrival_time_28,source_29,destination_29,arrival_time_29
26,4,84,6,32,96,18,0,82,22,20,56,34,24,55,22,0,104,30,12,59,0,12,73,36,16,69,12,12,50,26,28,65,2,28,89,36,32,48,10,12,60,20,4,71,38,4,100,4,16,85,14,8,62,8,32,94,28,28,60,6,0,50,26,20,74,10,0,82,8,24,87,20,4,59,36,20,76,10,28,84,30,8,80,22,4,87,30,4,76
38,4,75,0,12,65,14,36,64,14,24,59,28,28,41,0,28,105,6,0,57,16,24,73,36,12,72,20,16,44,26,12,81,36,8,114,6,16,79,4,16,85,14,12,57,28,4,90,36,0,115,38,8,93,0,8,57,26,20,57,18,16,67,24,0,100,30,32,61,8,8,64,4,32,76,12,16,54,36,36,46,14,12,67,18,16,58,0,0,45
4,20,77,2,24,72,10,28,94,0,16,73,36,4,94,34,16,75,14,16,61,12,36,82,10,28,59,32,0,76,36,32,44,32,20,56,12,4,52,6,0,69,20,8,66,6,0,59,16,32,68,8,20,53,36,24,58,18,12,68,38,0,108,14,0,86,36,24,66,16,20,62,22,36,74,8,16,75,28,12,74,12,8,70,30,36,73,14,0,74
16,8,78,2,4,44,38,20,86,16,4,54,38,24,54,18,36,92,16,24,48,18,8,70,32,4,85,36,4,120,4,20,64,12,0,77,18,8,84,0,32,86,8,8,41,26,0,94,36,36,45,38,28,79,22,28,69,24,20,69,12,32,92,22,32,50,24,16,76,22,28,62,20,8,56,20,24,53,6,20,70,2,28,75,8,4,72,20,4,81
16,24,57,24,36,85,2,20,85,4,0,66,36,20,66,8,4,59,12,24,82,12,0,81,22,32,51,30,8,93,30,28,53,34,8,80,4,4,43,6,32,93,0,28,110,30,28,56,24,36,62,36,4,95,18,4,58,22,0,66,10,12,46,4,24,60,4,36,73,10,32,100,2,16,57,14,8,68,20,8,70,8,20,76,10,36,91,20,4,68
30,12,95,28,0,81,38,20,69,20,8,67,20,8,63,24,36,86,24,24,51,32,24,79,8,24,71,22,32,59,36,20,87,12,36,69,4,16,52,28,28,51,34,36,47,4,8,64,20,16,62,2,16,67,18,28,54,12,28,85,30,8,79,18,16,63,26,8,97,8,8,50,8,20,67,16,0,83,26,16,66,22,8,85,8,4,66,36,28,59
26,20,74,4,24,87,16,32,60,18,8,73,36,24,66,18,8,84,38,12,99,2,12,75,2,4,68,12,20,59,20,36,89,2,32,95,14,16,67,10,12,53,28,8,100,32,28,61,24,16,51,30,24,73,28,12,66,4,4,49,18,20,61,0,16,78,8,0,70,38,16,81,20,20,42,26,24,53,28,8,64,16,4,86,24,20,55,38,32,71
30,4,76,8,0,66,16,20,66,10,36,102,32,24,75,28,32,57,34,0,79,18,8,56,32,28,63,14,24,64,38,0,86,14,12,52,32,12,77,30,4,80,30,32,52,4,0,70,6,32,90,14,28,74,28,28,53,24,8,70,12,28,76,14,16,54,4,20,67,30,16,76,38,0,120,12,12,60,8,12,68,36,24,86,36,20,74,32,32,40
8,12,63,12,32,94,36,32,69,34,8,88,2,4,67,14,4,54,16,4,59,24,32,61,8,0,62,10,16,47,34,28,48,38,24,73,20,24,70,32,12,99,24,0,66,28,0,107,24,32,70,8,8,41,12,36,94,26,24,44,20,16,52,30,16,78,14,12,68,2,20,59,0,8,49,34,16,97,16,0,64,6,0,69,16,8,61,16,24,48
38,8,105,32,36,59,6,8,65,4,32,83,30,20,50,36,16,62,10,36,95,32,12,86,26,16,52,26,8,83,36,4,91,34,12,74,24,4,78,20,28,76,0,8,74,26,16,74,2,28,69,16,24,51,36,8,86,12,12,46,28,4,94,14,32,76,10,4,49,2,36,79,30,32,49,26,24,64,10,8,66,0,32,105,34,12,78,28,4,92
28,20,68,28,0,77,26,8,76,10,28,75,10,16,58,4,20,71,22,8,81,18,16,45,32,16,62,14,4,53,36,36,45,36,12,94,28,24,57,16,36,98,18,16,43,26,36,73,24,0,90,36,4,112,34,32,55,24,36,66,30,28,65,28,12,72,26,24,50,12,36,70,2,16,80,2,0,63,18,20,42,26,0,80,16,28,74,22,8,80
28,36,48,30,4,106,18,12,74,22,12,80,6,28,78,24,32,54,18,8,75,22,36,68,18,16,49,10,0,76,22,8,75,34,36,60,30,0,71,18,28,53,22,16,74,18,8,64,32,8,66,6,16,59,4,24,71,2,4,47,30,32,63,26,4,94,34,0,98,34,20,56,26,12,65,2,12,66,6,8,63,26,36,55,4,24,99,14,0,55
38,32,53,12,24,78,30,20,76,20,4,59,32,4,92,18,36,95,2,16,74,20,32,60,14,0,78,20,24,57,0,4,72,30,12,70,38,32,48,34,16,90,30,12,70,20,0,78,38,4,84,24,12,84,24,8,62,26,0,90,16,0,83,10,32,73,34,0,91,14,36,92,4,32,85,38,12,97,34,20,80,18,0,83,32,12,67,22,32,55
20,36,80,38,4,88,18,4,67,16,24,75,26,4,94,24,8,66,16,20,44,12,28,87,24,4,88,28,36,57,34,36,59,22,8,58,24,4,68,8,8,50,26,20,51,24,12,85,26,28,62,34,28,62,36,24,77,10,12,45,38,20,70,12,20,61,38,32,65,2,8,67,34,20,86,24,24,65,36,20,90,14,36,79,26,16,81,10,36,84
30,12,76,14,36,99,38,16,98,16,36,77,10,16,48,10,36,69,18,16,44,32,12,65,28,24,61,38,32,62,28,20,48,24,24,49,20,24,65,18,24,61,2,24,76,0,16,65,22,0,94,12,28,90,20,0,94,30,4,84,32,12,99,18,12,56,16,8,76,26,28,60,32,8,65,22,20,68,4,16,60,18,20,68,30,20,72,14,20,68
32,20,62,14,8,57,14,36,65,24,28,51,0,28,91,28,16,78,36,12,81,32,16,80,8,16,65,2,8,67,24,36,80,34,4,84,26,36,77,22,0,81,2,20,91,16,32,78,26,8,84,2,4,57,8,12,52,12,32,90,12,24,57,32,20,58,8,20,77,38,16,72,34,24,69,24,28,71,8,8,58,24,0,104,38,20,66,36,16,66
20,24,68,32,12,63,6,32,96,4,0,67,16,8,57,6,0,77,28,8,77,22,16,64,12,32,68,20,0,98,6,28,77,14,36,79,36,24,60,2,36,118,36,32,70,10,24,90,14,36,72,28,20,55,18,32,63,30,20,56,18,28,53,12,0,81,18,36,89,4,16,72,12,12,50,24,20,58,8,8,60,24,36,70,16,20,53,22,36,71
14,24,64,14,24,63,38,24,71,10,32,98,10,12,42,14,36,87,2,4,55,4,28,71,32,28,63,10,8,54,10,24,66,20,24,45,6,32,111,38,0,88,16,32,84,18,28,76,38,36,67,28,0,86,4,8,65,36,36,58,18,20,51,22,20,44,8,0,70,18,12,61,14,24,61,36,20,67,38,8,81,12,24,73,4,4,46,12,8,64
16,8,66,18,12,54,12,12,47,30,24,67,16,28,76,38,36,62,4,28,84,8,28,80,32,8,92,34,20,65,24,12,73,0,20,97,12,36,93,16,0,71,30,36,76,28,4,76,2,20,89,24,8,80,10,24,80,0,28,86,0,28,113,6,16,66,2,12,66,34,0,124,36,0,111,26,24,51,12,24,52,4,8,56,16,28,67,36,8,79
36,12,80,20,8,55,28,8,76,8,20,70,34,0,111,10,12,42,22,32,81,36,32,47,34,4,84,24,32,56,26,4,83,0,16,62,10,28,74,20,20,59,26,16,65,38,16,99,16,16,47,4,16,75,22,32,70,22,8,89,36,36,56,10,0,80,10,0,56,34,36,59,32,24,66,12,8,47,24,28,59,12,36,96,0,28,78,2,24,70
28,36,72,36,28,76,28,24,47,32,36,46,6,0,69,10,4,60,2,8,61,30,32,62,26,4,92,10,4,74,28,20,73,20,0,83,16,8,50,32,28,54,38,20,94,32,8,93,2,0,69,0,32,102,36,12,93,38,28,54,18,4,65,22,24,52,12,28,72,36,4,81,26,12,54,22,4,58,18,32,71,38,32,58,2,0,43,12,32,99
34,24,58,12,0,53,20,20,41,8,28,84,24,28,50,20,24,60,2,12,68,30,36,59,26,28,55,16,16,58,0,28,74,14,12,62,34,0,96,32,8,66,36,24,75,34,32,67,14,32,92,32,0,116,36,32,73,24,16,58,6,28,66,24,16,54,28,4,64,30,12,62,20,12,76,0,36,119,36,28,54,30,32,64,22,20,52,20,0,80
20,12,79,28,36,58,16,8,56,24,8,81,38,8,90,24,24,52,38,20,76,2,24,70,30,12,68,38,36,48,4,0,56,34,16,97,38,28,52,26,0,110,20,0,71,36,32,51,32,12,99,22,0,63,20,12,63,28,12,92,8,24,62,22,8,86,18,8,70,16,36,65,32,8,94,16,4,66,12,32,79,20,28,54,4,36,104,30,24,73
6,4,53,4,24,87,22,32,56,6,8,52,8,36,94,20,20,60,6,4,44,6,32,76,28,4,87,36,0,96,24,12,82,4,20,75,24,20,65,4,0,73,26,24,49,36,20,82,36,0,79,18,24,51,12,4,56,24,0,80,0,20,94,20,32,67,0,16,92,34,4,96,6,20,71,6,36,80,6,20,64,26,0,105,30,32,44,20,32,76
36,24,60,22,12,54,14,24,71,26,20,58,20,32,82,2,24,76,26,16,58,22,24,45,10,0,54,0,4,58,0,24,69,20,0,98,36,24,75,24,36,80,16,28,61,30,8,73,6,12,56,8,24,57,24,20,70,28,28,67,30,0,83,12,28,57,36,0,122,8,36,75,10,12,44,18,32,67,36,16,81,26,20,69,0,32,79,4,4,66
14,16,57,10,32,97,10,0,50,34,0,96,34,24,74,22,20,51,16,12,67,10,0,59,32,36,51,22,36,87,30,20,57,6,8,43,26,24,61,38,8,108,14,4,63,26,28,68,2,24,67,10,20,54,28,28,51,32,0,108,22,32,79,10,32,96,28,8,83,18,8,65,24,16,55,6,32,89,24,16,63,16,8,64,6,0,61,32,12,72
26,12,65,0,24,98,32,20,81,0,20,69,6,36,96,22,0,68,38,36,64,20,8,56,36,20,81,14,32,94,10,28,78,14,20,74,30,24,52,24,12,64,10,24,76,32,0,72,6,36,109,34,28,49,28,28,65,6,36,118,14,20,46,38,0,123,20,20,48,18,32,74,10,32,81,30,36,53,22,4,77,14,16,54,10,32,86,20,32,87
34,24,53,16,32,67,16,0,63,0,4,55,4,12,56,18,12,49,24,8,80,32,16,73,12,32,78,4,8,57,22,4,61,28,36,56,28,8,77,24,32,63,34,36,55,32,36,66,26,12,68,36,28,52,32,28,62,38,24,82,10,8,46,26,0,75,16,12,63,0,36,83,10,12,64,32,16,94,28,28,46,12,32,92,14,20,68,14,8,77
34,24,84,12,36,98,36,8,76,2,0,48,34,12,99,38,36,53,38,12,76,34,0,87,10,8,42,6,0,76,8,4,51,10,24,59,30,12,90,0,16,77,14,4,65,30,0,108,2,4,62,22,0,89,20,20,55,24,8,65,26,36,52,32,32,55,24,24,49,26,24,43,4,36,102,4,12,79,2,0,56,0,36,101,14,4,72,38,28,70
22,32,79,0,28,114,10,4,71,38,0,82,16,32,85,36,4,88,0,36,126,34,12,70,2,24,89,6,16,60,34,24,74,24,20,46,30,4,109,26,28,53,0,12,81,20,20,66,30,12,82,10,0,82,36,16,76,6,12,63,22,4,95,30,24,65,12,20,53,8,8,57,10,16,64,22,20,51,22,28,64,18,0,72,6,8,67,22,24,61
36,32,54,18,12,60,2,32,99,24,8,74,22,24,52,2,8,70,10,8,45,8,36,96,0,4,46,22,36,88,28,20,58,32,20,82,32,36,58,2,28,111,22,36,64,20,24,66,38,28,72,10,36,75,4,36,104,22,12,79,36,24,72,28,36,56,0,8,72,8,24,56,30,12,91,22,28,67,10,0,78,4,36,86,26,0,76,0,4,70
22,16,61,14,32,68,6,36,72,6,36,113,20,0,68,16,12,70,36,16,86,2,12,76,16,8,73,38,0,92,26,0,70,30,28,42,6,28,64,36,4,113,18,16,65,36,8,88,12,24,69,38,0,78,8,24,65,32,12,100,16,0,69,22,4,78,2,16,64,18,16,69,6,20,82,32,12,85,16,4,64,38,4,108,4,8,65,38,36,48
34,4,93,10,0,69,12,36,100,4,24,91,36,28,79,4,28,83,22,24,60,36,16,92,4,32,97,12,24,61,36,12,66,6,4,49,22,16,59,24,36,70,34,0,124,16,8,80,26,36,71,28,12,86,38,0,99,24,32,55,38,16,86,22,20,61,24,16,69,4,12,60,4,32,75,32,24,65,4,28,80,18,0,80,4,36,79,38,20,68
0,24,101,4,32,69,30,4,111,14,4,80,6,24,60,0,20,86,4,32,102,28,24,46,22,36,67,16,24,78,24,4,60,30,28,58,28,8,65,2,0,67,16,36,87,24,0,69,8,12,63,12,28,58,12,24,82,22,8,80,18,0,90,32,24,63,22,16,75,30,28,44,10,32,85,34,36,62,32,12,76,18,12,60,26,36,70,38,32,48
30,32,43,22,4,81,34,36,68,18,8,83,24,24,42,26,0,90,20,24,51,36,0,127,16,36,71,16,16,41,4,20,75,22,24,69,24,16,74,20,4,62,26,0,88,34,20,54,38,24,70,12,16,63,12,36,67,24,20,53,2,32,111,2,16,80,36,12,97,32,32,40,24,16,79,0,24,83,16,8,66,18,32,68,4,4,48,30,28,50
16,0,83,20,4,70,16,32,62,18,4,58,2,32,80,6,32,90,4,16,60,16,32,87,10,24,87,14,28,54,6,20,64,2,16,81,28,20,50,38,20,95,12,0,86,34,32,51,36,12,104,20,24,48,0,4,59,36,12,94,6,0,66,28,20,79,24,16,73,2,24,72,28,20,69,18,36,84,26,20,63,20,4,89,26,8,70,18,32,88
30,8,70,12,0,70,4,12,72,20,16,54,18,16,48,30,8,92,12,8,66,10,12,48,12,28,78,18,28,74,28,12,92,2,36,117,18,32,58,16,24,67,18,12,46,0,20,77,22,16,65,0,12,58,12,20,55,34,16,66,28,16,79,12,4,69,32,20,63,4,36,97,4,32,79,2,16,64,36,4,103,34,4,88,6,16,65,22,12,67
4,28,74,6,0,54,36,28,64,34,16,66,12,28,85,38,28,74,24,20,44,36,8,79,26,28,69,12,36,104,30,0,105,10,12,54,32,36,45,10,4,52,6,0,66,0,16,83,22,0,76,36,16,60,0,8,59,14,0,83,36,20,58,16,4,80,38,20,61,18,16,55,10,36,110,18,0,86,20,20,52,36,32,44,6,4,69,22,20,46
20,36,74,32,8,68,32,28,59,20,24,68,32,16,78,22,4,81,12,12,48,16,4,67,32,0,102,2,36,121,2,12,69,10,16,53,2,4,63,8,4,47,24,36,75,22,16,61,22,16,72,16,36,92,22,20,58,20,32,76,14,20,52,38,32,69,26,36,68,10,12,66,6,24,67,20,12,66,30,36,69,32,16,87,4,20,62,26,4,62
22,8,73,0,20,80,16,28,83,36,12,93,28,12,79,36,16,77,38,4,88,34,24,60,10,20,61,16,36,88,22,36,72,22,20,47,28,36,49,24,16,54,16,0,78,0,36,103,36,36,46,16,8,59,4,12,48,14,20,61,8,28,98,8,28,63,16,24,69,14,28,86,18,8,64,24,36,58,30,16,73,24,12,84,14,28,87,6,20,82
6,28,77,12,0,74,36,4,74,28,36,54,32,12,66,30,28,42,16,24,64,16,32,78,2,36,123,0,28,104,10,32,104,36,16,80,4,12,62,6,8,50,36,24,69,20,16,72,36,36,63,38,12,106,20,8,85,0,36,121,22,8,79,6,12,48,26,24,48,38,4,105,0,36,108,4,20,80,34,36,49,32,28,54,14,20,62,30,36,77
38,20,78,4,12,80,8,4,66,38,4,98,38,28,51,36,16,91,14,32,91,0,4,51,38,36,46,20,16,62,4,8,45,20,32,67,16,36,71,12,24,84,26,36,53,24,4,96,36,0,114,4,16,66,8,20,52,14,4,71,28,32,50,0,12,78,34,20,69,20,36,73,2,36,120,4,20,60,12,0,59,22,28,75,4,36,110,18,28,50
8,8,64,22,32,81,2,24,67,14,28,86,22,0,69,24,28,64,10,8,58,2,24,78,6,32,92,24,16,67,26,24,47,6,24,97,12,24,86,24,4,65,28,24,50,30,36,70,38,28,56,36,0,96,30,4,78,0,24,65,38,0,109,8,8,49,30,32,49,34,0,76,12,4,73,14,28,76,28,36,53,20,0,79,30,36,70,0,20,67
10,32,88,34,36,66,20,24,54,30,4,78,32,32,48,28,4,98,14,36,89,30,28,45,14,20,61,18,4,58,6,20,81,8,24,57,4,4,53,32,16,64,22,28,49,2,16,58,14,12,68,38,0,79,4,0,44,0,12,68,30,24,77,24,0,107,12,28,68,6,16,62,20,0,67,28,12,86,28,12,74,26,4,80,38,12,85,30,24,64
16,12,55,28,20,65,2,4,70,30,4,84,22,4,73,6,20,54,12,16,47,28,4,105,28,24,70,38,0,116,22,16,58,2,8,51,16,0,73,12,24,69,12,16,63,30,28,55,36,36,63,18,16,60,24,0,101,32,16,56,8,8,52,8,28,77,28,36,77,34,12,67,10,32,98,32,24,50,22,0,100,26,28,56,34,20,74,38,0,102
10,36,85,18,20,62,22,24,70,18,12,58,34,8,86,16,24,50,4,36,109,10,16,49,18,20,56,4,20,83,28,36,79,28,0,98,28,12,74,28,32,68,4,28,67,26,16,52,6,8,66,22,8,68,26,16,81,36,24,71,36,16,69,36,32,59,38,32,65,28,28,60,14,24,50,12,24,76,36,28,73,4,32,93,32,16,65,36,32,56
26,16,73,30,24,73,28,20,61,34,36,58,4,0,60,14,32,58,28,28,63,12,28,77,10,12,44,10,8,68,14,0,61,36,16,76,10,16,71,20,12,78,2,8,66,8,8,62,0,4,70,8,24,89,6,36,111,4,36,105,2,28,92,38,0,100,0,32,90,38,8,114,30,16,84,28,28,44,0,0,45,22,36,63,32,28,48,12,4,61
28,16,82,24,12,76,20,24,63,32,20,55,14,32,97,14,24,57,6,16,75,30,28,51,16,24,49,0,12,80,30,32,45,24,12,53,38,0,94,20,0,88,8,20,66,22,16,52,16,16,58,4,36,74,20,8,85,6,24,73,18,24,56,34,4,93,18,32,88,0,20,88,10,8,57,10,12,53,32,0,115,0,36,80,10,24,90,28,36,69
8,16,57,30,36,69,20,20,52,20,12,49,4,28,94,18,28,57,14,36,63,0,12,61,0,8,76,38,8,100,34,8,97,38,12,109,36,36,50,14,36,98,16,24,51,38,8,112,4,32,94,2,32,75,6,20,76,30,12,77,20,28,58,10,32,92,2,4,55,0,4,59,16,36,78,28,32,69,34,36,70,26,20,54,14,4,80,8,16,74
38,32,56,24,24,66,6,20,79,20,8,71,22,36,64,26,12,64,24,12,86,6,20,62,10,16,46,24,20,49,6,16,82,4,20,87,32,4,88,16,0,92,2,4,60,14,28,88,8,12,48,16,8,79,30,24,74,14,4,72,26,16,68,0,0,54,6,8,55,28,16,63,24,32,80,24,20,61,34,16,87,10,12,65,16,28,70,18,8,54
14,36,67,26,24,62,2,12,73,38,4,115,26,28,52,0,0,54,22,4,62,26,4,81,20,24,65,10,12,45,6,20,74,14,28,64,20,36,87,30,16,71,34,32,62,22,36,72,4,4,48,10,4,51,2,36,86,14,16,70,10,32,90,32,32,43,6,8,49,16,4,68,0,24,64,4,28,79,4,16,75,30,4,72,34,32,47,12,0,75
2,36,80,6,32,69,24,24,52,12,0,83,28,12,84,16,16,45,14,12,70,2,16,63,16,12,63,26,16,75,20,24,56,30,24,57,32,28,54,18,12,49,4,28,107,24,4,90,32,8,84,14,28,80,14,12,62,20,28,62,2,16,55,26,0,84,2,24,66,18,24,71,34,8,108,28,32,50,18,24,50,10,32,103,32,0,82,6,32,94
36,8,103,0,0,61,18,20,69,32,4,75,22,0,89,20,20,67,30,20,71,2,32,100,26,32,49,32,24,68,38,16,81,38,8,116,16,28,85,30,28,42,14,8,53,32,20,69,36,28,63,16,8,69,38,12,102,4,28,105,2,8,59,10,8,47,22,12,64,10,8,52,26,16,55,32,36,64,16,24,52,18,12,62,36,0,114,18,28,53
0,20,66,8,16,56,18,32,61,38,8,84,28,4,81,30,8,70,6,32,76,6,8,56,16,4,80,22,0,76,6,16,73,2,36,81,16,32,79,30,0,116,30,20,72,26,16,58,30,4,86,34,8,70,0,36,87,14,8,57,12,24,81,2,32,95,24,24,65,8,32,91,28,20,80,38,28,67,38,20,91,20,32,79,4,36,101,12,16,70
36,4,96,24,4,94,38,4,122,32,24,60,4,32,84,12,32,99,36,24,53,20,20,63,12,28,66,24,24,65,24,28,45,2,12,84,20,32,53,26,32,49,30,16,55,10,36,80,10,28,83,30,0,91,4,20,86,24,20,65,6,20,65,38,16,70,20,16,54,12,8,47,32,28,54,38,16,104,38,20,76,2,16,88,6,28,67,12,16,67
36,32,67,0,32,107,12,32,97,8,32,95,4,32,104,30,28,56,0,12,62,24,24,67,34,20,77,18,16,58,36,20,89,20,4,76,2,36,102,4,20,79,2,0,42,12,32,74,34,4,114,2,8,71,14,20,67,32,0,118,24,0,68,26,36,62,10,24,60,16,16,45,32,12,72,28,8,80,20,4,58,22,36,64,22,12,55,36,8,82
16,16,49,16,28,66,32,20,66,16,20,45,22,20,64,0,24,86,6,36,76,22,24,65,16,28,53,20,12,62,2,32,80,16,24,56,10,36,77,32,28,73,16,36,95,14,24,77,4,24,80,14,28,61,20,32,74,34,12,101,34,24,60,12,20,56,36,0,121,14,8,58,34,36,59,14,0,88,26,8,71,36,24,71,30,8,83,16,24,71
14,36,101,38,20,65,20,20,58,2,16,56,18,24,65,36,36,51,36,32,50,16,0,90,24,8,88,20,12,53,38,28,50,36,32,51,34,12,87,0,32,117,6,8,65,0,0,45,6,4,46,4,12,80,30,16,67,20,28,53,4,28,93,8,8,58,10,12,57,18,24,47,38,32,53,32,12,60,4,16,75,18,12,62,0,16,73,30,24,67
24,12,86,36,28,77,32,24,68,18,32,54,38,16,69,0,36,104,18,4,73,14,20,67,26,16,72,22,32,78,14,20,54,32,28,73,8,0,60,16,12,55,34,28,49,12,36,80,0,16,76,28,32,45,2,24,64,14,4,54,24,24,57,0,20,82,10,0,77,12,36,76,20,16,45,16,16,52,4,36,114,20,20,64,14,8,72,22,16,49
2,20,97,38,16,99,28,0,79,0,4,70,20,0,82,10,16,75,18,0,64,4,32,105,0,8,49,0,0,55,22,16,57,16,28,53,14,20,65,10,32,100,12,12,49,28,28,43,16,0,62,0,4,47,30,32,51,36,20,62,8,12,66,26,28,43,12,12,62,32,36,73,30,0,75,2,16,88,14,24,56,20,28,59,2,4,70,22,16,71
0,8,73,38,0,85,4,12,80,28,28,60,2,8,67,8,24,86,34,28,53,20,20,43,14,36,100,12,24,61,30,20,72,2,16,87,24,20,66,26,8,83,36,36,47,8,12,67,38,28,68,4,32,99,34,4,86,20,12,69,10,24,72,2,8,67,24,16,78,20,20,64,30,20,65,12,0,64,26,8,90,32,4,83,34,4,78,30,8,88
12,12,40,20,16,48,20,12,73,0,0,41,16,0,77,18,0,68,8,28,92,6,32,103,32,32,61,12,4,73,30,36,68,26,20,74,14,28,90,2,24,74,10,24,84,16,16,52,32,20,61,18,32,89,34,20,68,30,24,64,28,20,58,34,8,102,34,16,58,24,20,71,18,24,53,22,4,91,20,32,62,32,28,60,26,28,68,22,12,71
